Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1765320651585,09/12/2025 22:50:51,1765320638367,-5,09/12/2025 17:50:38,250842,10,questionnaire-6hha,,51307587,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Debrief_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,BEGIN QUESTIONNAIRE,
2,1765320653387,09/12/2025 22:50:53,1765320640209,-5,09/12/2025 17:50:40,250842,10,questionnaire-6hha,,51307587,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Debrief_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,END QUESTIONNAIRE,1842
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
