Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,answer
1,1765234674409,08/12/2025 22:57:54,1765234661224,-5,08/12/2025 17:57:41,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,,
2,1765234685789,08/12/2025 22:58:05,1765234672338,-5,08/12/2025 17:57:52,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,1,1,1,Screen 1,advancementZone,continue_button,11025.099999999627,,,0,,,,,,,,soundCheckInstructions,
3,1765234690666,08/12/2025 22:58:10,1765234677273,-5,08/12/2025 17:57:57,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,4830.4000000003725,,AUDIO STARTED,1,,,,,,,,volumeAdjustment,octopus
4,1765234693704,08/12/2025 22:58:13,1765234680567,-5,08/12/2025 17:58:00,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,8124.4000000003725,,AUDIO STARTED,2,,,,,,,,volumeAdjustment,octopus
5,1765234701266,08/12/2025 22:58:21,1765234687849,-5,08/12/2025 17:58:07,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,15406.300000000745,,AUDIO STARTED,3,,,,,,,,volumeAdjustment,octopus
6,1765234702812,08/12/2025 22:58:22,1765234689678,-5,08/12/2025 17:58:09,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,17234.699999999255,,AUDIO STARTED,4,,,,,,,,volumeAdjustment,octopus
7,1765234704716,08/12/2025 22:58:24,1765234691571,-5,08/12/2025 17:58:11,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,19128.099999999627,,AUDIO STARTED,5,,,,,,,,volumeAdjustment,octopus
8,1765234706935,08/12/2025 22:58:26,1765234693778,-5,08/12/2025 17:58:13,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,21335.300000000745,,AUDIO STARTED,6,,,,,,,,volumeAdjustment,octopus
9,1765234718740,08/12/2025 22:58:38,1765234705317,-5,08/12/2025 17:58:25,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,32873.90000000037,,AUDIO STARTED,7,,,,,,,,volumeAdjustment,octopus
10,1765234719772,08/12/2025 22:58:39,1765234706634,-5,08/12/2025 17:58:26,250842,10,task-24zw,,51269939,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,34190.90000000037,,AUDIO STARTED,8,,,,,,,,volumeAdjustment,octopus
