Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1765234828523,08/12/2025 23:00:28,1765234815306,-5,08/12/2025 18:00:15,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,BEGIN QUESTIONNAIRE,
2,1765234854627,08/12/2025 23:00:54,1765234841189,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,eligibility,1
3,1765234854756,08/12/2025 23:00:54,1765234841195,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,timing-agreement,1
4,1765234854756,08/12/2025 23:00:54,1765234841196,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,environment,1
5,1765234854756,08/12/2025 23:00:54,1765234841196,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,consent,1
6,1765234854756,08/12/2025 23:00:54,1765234841197,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,voice-consent,1
7,1765234854756,08/12/2025 23:00:54,1765234841197,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,ProlificID-manual,670391e01385e6794f0eff25
8,1765234854756,08/12/2025 23:00:54,1765234841197,-5,08/12/2025 18:00:41,250842,10,questionnaire-zp9k,,51269958,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1513x698,day1done,,,Consent_Paron,4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,END QUESTIONNAIRE,25892
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
