Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
26,1765675796247,14/12/2025 01:29:56,1765675797737,-6,13/12/2025 19:29:57,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,11,6,4,ITI,Zone1,timelimit_screen,1000.0999999999985,,,0,,,,,1,,1,recog-trial,tesdar.mp3,regby.mp3,2,car.PNG,regby,tesdar
27,1765675797881,14/12/2025 01:29:57,1765675799355,-6,13/12/2025 19:29:59,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,7,1,opt1,Zone1,content_audio,1597.699999988079,,,0,,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
28,1765675799487,14/12/2025 01:29:59,1765675800955,-6,13/12/2025 19:30:00,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,7,2,opt2,Zone1,content_audio,1593.1000000238419,,,0,,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
29,1765675799712,14/12/2025 01:29:59,1765675801188,-6,13/12/2025 19:30:01,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,7,3,response,Zone1,response_keyboard,227.30000001192093,,1,1,1,,,,,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
30,1765675800740,14/12/2025 01:30:00,1765675802180,-6,13/12/2025 19:30:02,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,8,7,4,ITI,Zone1,timelimit_screen,1000.3000000000029,,,0,,,,,1,,1,recog-trial,peflin.mp3,regby.mp3,1,drink.PNG,peflin,regby
31,1765675802770,14/12/2025 01:30:02,1765675803817,-6,13/12/2025 19:30:03,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,8,1,opt1,Zone1,content_audio,1622.300000011921,,,0,,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
32,1765675803928,14/12/2025 01:30:03,1765675805396,-6,13/12/2025 19:30:05,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,8,2,opt2,Zone1,content_audio,1573.800000011921,,,0,,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
33,1765675804113,14/12/2025 01:30:04,1765675805436,-6,13/12/2025 19:30:05,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,8,3,response,Zone1,response_keyboard,34.5,,1,1,1,,,,,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
34,1765675804977,14/12/2025 01:30:04,1765675806430,-6,13/12/2025 19:30:06,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,10,8,4,ITI,Zone1,timelimit_screen,999.9000000000015,,,0,,,,,1,,1,recog-trial,rafar.mp3,mowel.mp3,1,animal.PNG,rafar,mowel
35,1765675806601,14/12/2025 01:30:06,1765675808042,-6,13/12/2025 19:30:08,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,9,1,opt1,Zone1,content_audio,1592.300000011921,,,0,,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
36,1765675808192,14/12/2025 01:30:08,1765675809641,-6,13/12/2025 19:30:09,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,9,2,opt2,Zone1,content_audio,1595.2000000476837,,,0,,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
37,1765675808393,14/12/2025 01:30:08,1765675809880,-6,13/12/2025 19:30:09,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,9,3,response,Zone1,response_keyboard,231.4000000357628,,1,1,1,,,,,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
38,1765675809413,14/12/2025 01:30:09,1765675810865,-6,13/12/2025 19:30:10,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,4,9,4,ITI,Zone1,timelimit_screen,1000.4000000000015,,,0,,,,,1,,1,recog-trial,femod.mp3,wabon.mp3,1,hoverboard.PNG,femod,wabon
39,1765675810964,14/12/2025 01:30:10,1765675812436,-6,13/12/2025 19:30:12,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,10,1,opt1,Zone1,content_audio,1553.8999999761581,,,0,,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
40,1765675812591,14/12/2025 01:30:12,1765675814036,-6,13/12/2025 19:30:14,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,10,2,opt2,Zone1,content_audio,1592.3999999761581,,,0,,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
41,1765675812852,14/12/2025 01:30:12,1765675814331,-6,13/12/2025 19:30:14,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,10,3,response,Zone1,response_keyboard,288.69999998807907,,1,1,1,,,,,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
42,1765675813874,14/12/2025 01:30:13,1765675815314,-6,13/12/2025 19:30:15,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,14,10,4,ITI,Zone1,timelimit_screen,1000,,,0,,,,,1,,1,recog-trial,tesdar.mp3,pungus.mp3,1,ride.PNG,tesdar,pungus
43,1765675815490,14/12/2025 01:30:15,1765675816939,-6,13/12/2025 19:30:16,250842,10,task-z5kw,,51389488,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Pic Recognition (2AFC),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,picRecog_A,picRecog_A,13,11,1,opt1,Zone1,content_audio,1605.6000000238419,,,0,,,,,,,1,recog-trial,peflin.mp3,tabric.mp3,2,zookeeper.PNG,tabric,peflin
