Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
3,1765586795674,13/12/2025 00:46:35,1765586790365,-6,12/12/2025 18:46:30,250842,10,task-1wvc,,51379355,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,,,END TASK,,,,,190640,,,,,,,,,,,
1,1765585683077,13/12/2025 00:28:03,1765585684087,-8,12/12/2025 16:28:04,250842,10,task-1wvc,,51379280,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - Mic,2,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765586789070,13/12/2025 00:46:29,1765586790166,-8,12/12/2025 16:46:30,250842,10,task-1wvc,,51379280,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - Mic,2,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,1106063.7000000477,,,0,,,,,,,,microphoneCheck
3,1765586789427,13/12/2025 00:46:29,1765586790168,-8,12/12/2025 16:46:30,250842,10,task-1wvc,,51379280,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - Mic,2,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,,,END TASK,,,,,1106081,,,,,,,,,,,
1,1765587658006,13/12/2025 01:00:58,1765587656982,-6,12/12/2025 19:00:56,250842,10,task-1wvc,,51379423,611842195ebcbb197bc11c0e,14743335,,complete,,693cbaa3d9e05d850dda0783,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1536x864,1536x695,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765587668476,13/12/2025 01:01:08,1765587667505,-6,12/12/2025 19:01:07,250842,10,task-1wvc,,51379423,611842195ebcbb197bc11c0e,14743335,,complete,,693cbaa3d9e05d850dda0783,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1536x864,1536x695,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,10511.700000001118,,,0,,,,,,,,microphoneCheck
3,1765587668639,13/12/2025 01:01:08,1765587667510,-6,12/12/2025 19:01:07,250842,10,task-1wvc,,51379423,611842195ebcbb197bc11c0e,14743335,,complete,,693cbaa3d9e05d850dda0783,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1536x864,1536x695,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,END TASK,,,,,10528,,,,,,,,,,,
1,1765590162117,13/12/2025 01:42:42,1765590162486,-6,12/12/2025 19:42:42,250842,10,task-1wvc,,51379604,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765590173309,13/12/2025 01:42:53,1765590173736,-6,12/12/2025 19:42:53,250842,10,task-1wvc,,51379604,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,11214.199999988079,,,0,,,,,,,,microphoneCheck
3,1765590173603,13/12/2025 01:42:53,1765590173746,-6,12/12/2025 19:42:53,250842,10,task-1wvc,,51379604,663e3cebf22215cffd238d3e,14743375,,complete,,693cc4382422a7473104cf3d,computer,Desktop or Laptop,Windows 10,Chrome 142.0.0.0,1280x800,1600x789,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,11260,,,,,,,,,,,
1,1765593308520,13/12/2025 02:35:08,1765593308283,-8,12/12/2025 18:35:08,250842,10,task-1wvc,,51379797,5c7dcd11f066ff001568e56a,14743421,,complete,,693cd0a9517e37eb7dfe47ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 143.0,1470x956,1311x743,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765593332294,13/12/2025 02:35:32,1765593332113,-8,12/12/2025 18:35:32,250842,10,task-1wvc,,51379797,5c7dcd11f066ff001568e56a,14743421,,complete,,693cd0a9517e37eb7dfe47ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 143.0,1470x956,1311x743,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,23810,,,0,,,,,,,,microphoneCheck
3,1765593332518,13/12/2025 02:35:32,1765593332116,-8,12/12/2025 18:35:32,250842,10,task-1wvc,,51379797,5c7dcd11f066ff001568e56a,14743421,,complete,,693cd0a9517e37eb7dfe47ab,computer,Desktop or Laptop,Mac OS 10.15,Firefox 143.0,1470x956,1311x743,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,END TASK,,,,,23833,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
