Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
9,1765587717736,13/12/2025 01:01:57,1765587717670,-6,12/12/2025 19:01:57,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,12,2,3,response,Zone1,response_keyboard,1327.7000000476837,,2,1,1,,,,,,1,recog-trial,nusty.mp3,peflin.mp3,2,monster.PNG,peflin,nusty
10,1765587718738,13/12/2025 01:01:58,1765587718669,-6,12/12/2025 19:01:58,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,12,2,4,ITI,Zone1,timelimit_screen,999.8999999999996,,,0,,,,,1,,1,recog-trial,nusty.mp3,peflin.mp3,2,monster.PNG,peflin,nusty
11,1765587720324,13/12/2025 01:02:00,1765587720256,-6,12/12/2025 19:02:00,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,1,opt1,Zone1,content_audio,1573.2000000476837,,,0,,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
12,1765587721928,13/12/2025 01:02:01,1765587721856,-6,12/12/2025 19:02:01,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,2,opt2,Zone1,content_audio,1593.6000001430511,,,0,,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
13,1765587722224,13/12/2025 01:02:02,1765587722159,-6,12/12/2025 19:02:02,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,3,response,Zone1,response_keyboard,299,,1,1,1,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
14,1765587723217,13/12/2025 01:02:03,1765587723152,-6,12/12/2025 19:02:03,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,4,ITI,Zone1,timelimit_screen,999.9000000000015,,,0,,,,,1,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
15,1765587724824,13/12/2025 01:02:04,1765587724756,-6,12/12/2025 19:02:04,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,4,1,opt1,Zone1,content_audio,1592.8999998569489,,,0,,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
16,1765587726404,13/12/2025 01:02:06,1765587726336,-6,12/12/2025 19:02:06,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,4,2,opt2,Zone1,content_audio,1573.1000001430511,,,0,,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
17,1765587728758,13/12/2025 01:02:08,1765587728684,-6,12/12/2025 19:02:08,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,4,3,response,Zone1,response_keyboard,2342.2000000476837,,1,1,1,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
18,1765587729735,13/12/2025 01:02:09,1765587729668,-6,12/12/2025 19:02:09,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,4,4,ITI,Zone1,timelimit_screen,1000,,,0,,,,,1,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
19,1765587731365,13/12/2025 01:02:11,1765587731297,-6,12/12/2025 19:02:11,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,5,1,opt1,Zone1,content_audio,1607.9000000953674,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
20,1765587732943,13/12/2025 01:02:12,1765587732867,-6,12/12/2025 19:02:12,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,5,2,opt2,Zone1,content_audio,1563.2999999523163,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
21,1765587735416,13/12/2025 01:02:15,1765587735347,-6,12/12/2025 19:02:15,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,5,3,response,Zone1,response_keyboard,2474.5,,2,1,1,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
22,1765587736399,13/12/2025 01:02:16,1765587736333,-6,12/12/2025 19:02:16,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,5,4,ITI,Zone1,timelimit_screen,999.8000000000029,,,0,,,,,1,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
23,1765587737996,13/12/2025 01:02:17,1765587737931,-6,12/12/2025 19:02:17,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,9,6,1,opt1,Zone1,content_audio,1589.7999999523163,,,0,,,,,,,1,recog-trial,dester.mp3,peflin.mp3,1,dragon.PNG,dester,peflin
24,1765587739594,13/12/2025 01:02:19,1765587739527,-6,12/12/2025 19:02:19,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,9,6,2,opt2,Zone1,content_audio,1589.7999999523163,,,0,,,,,,,1,recog-trial,dester.mp3,peflin.mp3,1,dragon.PNG,dester,peflin
25,1765587740554,13/12/2025 01:02:20,1765587740475,-6,12/12/2025 19:02:20,250842,10,task-2xk3,,51379428,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,9,6,3,response,Zone1,response_keyboard,942,,1,1,1,,,,,,1,recog-trial,dester.mp3,peflin.mp3,1,dragon.PNG,dester,peflin
