Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
1,1765580228267,12/12/2025 22:57:08,1765580227291,-6,12/12/2025 16:57:07,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x551,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765580233332,12/12/2025 22:57:13,1765580232413,-6,12/12/2025 16:57:12,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,1,1,1,Screen 2,advancementZone,continue_button,5078.600000023842,,,0,,,,,,,,instructions,,,,,,
3,1765580254658,12/12/2025 22:57:34,1765580253758,-6,12/12/2025 16:57:33,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,1,1,2,Screen 1,advancementZone,continue_button,21337.30000001192,,,0,,,,,,,,instructions,,,,,,
4,1765580256684,12/12/2025 22:57:36,1765580255752,-6,12/12/2025 16:57:35,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,2,1,1,Screen 1,advancementZone,continue_button,1981.5,,,0,,,,,,,,storyTitle,,,,,Title.JPG,
5,1765580286707,12/12/2025 22:58:06,1765580285785,-6,12/12/2025 16:58:05,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,3,1,1,Screen 1,storyAudio,content_audio,30018.599999964237,,,0,,,,,,,,storyScreens,,,,,Scene1.JPG,CB_P1.mp3
6,1765580317861,12/12/2025 22:58:37,1765580316924,-6,12/12/2025 16:58:36,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,4,2,1,Screen 1,storyAudio,content_audio,31110.099999964237,,,0,,,,,,,,storyScreens,,,,,Scene2.JPG,CB_P2.mp3
7,1765580365580,12/12/2025 22:59:25,1765580364664,-6,12/12/2025 16:59:24,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,5,3,1,Screen 1,storyAudio,content_audio,47709.10000002384,,,0,,,,,,,,storyScreens,,,,,Scene3.JPG,CB_P3.mp3
8,1765580411156,12/12/2025 23:00:11,1765580410244,-6,12/12/2025 17:00:10,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,6,4,1,Screen 1,storyAudio,content_audio,45552.10000002384,,,0,,,,,,,,storyScreens,,,,,Scene4.JPG,CB_P4.mp3
9,1765580443249,12/12/2025 23:00:43,1765580442344,-6,12/12/2025 17:00:42,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,7,5,1,Screen 1,storyAudio,content_audio,32079.100000023842,,,0,,,,,,,,storyScreens,,,,,Scene5.JPG,CB_P5.mp3
10,1765580493946,12/12/2025 23:01:33,1765580493024,-6,12/12/2025 17:01:33,250842,10,task-nvib,,51378485,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,B,attention_pass,,day1done,,eligible,story_B_picOnly,story_B_picOnly,8,6,1,Screen 1,storyAudio,content_audio,50659.10000002384,,,0,,,,,,,,storyScreens,,,,,Scene6.JPG,CB_P6.mp3
