Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,answer
1,1765585666463,13/12/2025 00:27:46,1765585667486,-8,12/12/2025 16:27:47,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,,
2,1765585667556,13/12/2025 00:27:47,1765585668632,-8,12/12/2025 16:27:48,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,1,1,1,Screen 1,advancementZone,continue_button,1130,,,0,,,,,,,,soundCheckInstructions,
3,1765585668767,13/12/2025 00:27:48,1765585669845,-8,12/12/2025 16:27:49,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,1208.1000001430511,,AUDIO STARTED,1,,,,,,,,volumeAdjustment,octopus
4,1765585673013,13/12/2025 00:27:53,1765585674086,-8,12/12/2025 16:27:54,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,typeword,response_text_entry,5448.400000095367,,octopus,1,1,,,,,,,volumeAdjustment,octopus
5,1765585675393,13/12/2025 00:27:55,1765585676483,-8,12/12/2025 16:27:56,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,3,1,1,Screen 1,advancementZone,continue_button,2392.600000143051,,,0,,,,,,,,autoplay,chocolate
6,1765585680606,13/12/2025 00:28:00,1765585681697,-8,12/12/2025 16:28:01,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,3,1,2,Screen 2,Zone1,response_text_entry,5207.299999952316,,chocolate,1,1,,,,,,,autoplay,chocolate
7,1765585680793,13/12/2025 00:28:00,1765585681701,-8,12/12/2025 16:28:01,250842,10,task-2wx2,,51379276,676fa93a6e1840db7ea43423,14743287,,complete,,693cb236e64beb9815676505,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x957,day1done,,,Sound check - speakers,17,,,audioFail,audio-Success,,B,attention_pass,,day1done,,eligible,soundCheck,,,END TASK,,,,,14215,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
