Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,ANSWER,foil
65,1765582162641,12/12/2025 23:29:22,1765582161269,-5,12/12/2025 18:29:21,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,17,14,2,opt2,Zone1,content_audio,1633.1999999997206,,,0,,,,,,,2,recog-trial,tesdar.mp3,tesdor.mp3,1,tesdar,tesdor
66,1765582162986,12/12/2025 23:29:22,1765582161353,-5,12/12/2025 18:29:21,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,17,14,3,response,Zone1,response_keyboard,77.20000000018626,,2,1,,,,,,,2,recog-trial,tesdar.mp3,tesdor.mp3,1,tesdar,tesdor
67,1765582163736,12/12/2025 23:29:23,1765582162351,-5,12/12/2025 18:29:22,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,17,14,4,ITI,Zone1,timelimit_screen,999.9000000000087,,,0,,,,,1,,2,recog-trial,tesdar.mp3,tesdor.mp3,1,tesdar,tesdor
68,1765582165337,12/12/2025 23:29:25,1765582163948,-5,12/12/2025 18:29:23,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,6,15,1,opt1,Zone1,content_audio,1589.6000000000931,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
69,1765582166891,12/12/2025 23:29:26,1765582165529,-5,12/12/2025 18:29:25,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,6,15,2,opt2,Zone1,content_audio,1575.5,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
70,1765582167199,12/12/2025 23:29:27,1765582165836,-5,12/12/2025 18:29:25,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,6,15,3,response,Zone1,response_keyboard,302.59999999962747,,2,1,1,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
71,1765582168239,12/12/2025 23:29:28,1765582166834,-5,12/12/2025 18:29:26,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,6,15,4,ITI,Zone1,timelimit_screen,1000,,,0,,,,,1,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
72,1765582170252,12/12/2025 23:29:30,1765582168885,-5,12/12/2025 18:29:28,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,20,1,1,Screen 1,advancementZone,continue_button,2044.3999999999069,,,0,,,,,,,,recog-Finish,,,,,
73,1765582170400,12/12/2025 23:29:30,1765582168908,-5,12/12/2025 18:29:28,250842,10,task-hxyd,,51378869,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,,,END TASK,,,,,91513,,,,,,,,,,,,,,,,
1,1765583131248,12/12/2025 23:45:31,1765583131090,-6,12/12/2025 17:45:31,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,
2,1765583136670,12/12/2025 23:45:36,1765583136547,-6,12/12/2025 17:45:36,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,1,1,1,Screen 1,advancementZone,continue_button,5439.100000023842,,,0,,,,,,,,recog-Instructions,,,,,
3,1765583137552,12/12/2025 23:45:37,1765583137444,-6,12/12/2025 17:45:37,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,1,Screen 1,Zone1,content_audio,887.7000000476837,,,0,,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
4,1765583138401,12/12/2025 23:45:38,1765583138272,-6,12/12/2025 17:45:38,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,2,Screen 2,Zone1,content_audio,821.9000000953674,,,0,,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
5,1765583141184,12/12/2025 23:45:41,1765583141073,-6,12/12/2025 17:45:41,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,3,Screen 3,Zone1,response_keyboard,2794.899999976158,,1,1,1,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
6,1765583143164,12/12/2025 23:45:43,1765583143062,-6,12/12/2025 17:45:43,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,4,Screen 4,Zone1,timelimit_screen,998.2000000000007,,,0,,,,,1,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
7,1765583144182,12/12/2025 23:45:44,1765583144071,-6,12/12/2025 17:45:44,250842,10,task-hxyd,,51378975,6917346c854863a0b4e98872,14743176,,complete,,693ca528b55d6a5375917639,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1512x982,1512x827,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,3,2,1,Screen 1,Zone1,content_audio,997.2999999523163,,,0,,,,,,,1,recog-practice,octopum.mp3,octopus.mp3,2,octopus,octopum
