Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
1,1765234890913,08/12/2025 23:01:30,1765234877712,-5,08/12/2025 18:01:17,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765234896338,08/12/2025 23:01:36,1765234882917,-5,08/12/2025 18:01:22,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,1,1,1,Screen 2,advancementZone,continue_button,5094.4000000003725,,,0,,,,,,,,instructions,,,,,,
3,1765234908913,08/12/2025 23:01:48,1765234895495,-5,08/12/2025 18:01:35,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,1,1,2,Screen 1,advancementZone,continue_button,12546.5,,,0,,,,,,,,instructions,,,,,,
4,1765234912964,08/12/2025 23:01:52,1765234899814,-5,08/12/2025 18:01:39,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,2,1,1,Screen 1,advancementZone,continue_button,4277.9000000003725,,,0,,,,,,,,storyTitle,,,,,Title.JPG,
5,1765234942426,08/12/2025 23:02:22,1765234928996,-5,08/12/2025 18:02:08,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,3,1,1,Screen 1,storyAudio,content_audio,29144.599999999627,,,0,,,,,,,,storyScreens,,,,,Scene1.JPG,CA_P1.mp3
6,1765234973533,08/12/2025 23:02:53,1765234960115,-5,08/12/2025 18:02:40,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,4,2,1,Screen 1,storyAudio,content_audio,31071.400000000373,,,0,,,,,,,,storyScreens,,,,,Scene2.JPG,CA_P2.mp3
7,1765235020534,08/12/2025 23:03:40,1765235007095,-5,08/12/2025 18:03:27,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,5,3,1,Screen 1,storyAudio,content_audio,46945.699999999255,,,0,,,,,,,,storyScreens,,,,,Scene3.JPG,CA_P3.mp3
8,1765235065889,08/12/2025 23:04:25,1765235052435,-5,08/12/2025 18:04:12,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,6,4,1,Screen 1,storyAudio,content_audio,45301.5,,,0,,,,,,,,storyScreens,,,,,Scene4.JPG,CA_P4.mp3
9,1765235098381,08/12/2025 23:04:58,1765235084956,-5,08/12/2025 18:04:44,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,7,5,1,Screen 1,storyAudio,content_audio,32470.300000000745,,,0,,,,,,,,storyScreens,,,,,Scene5.JPG,CA_P5.mp3
10,1765235148998,08/12/2025 23:05:48,1765235135557,-5,08/12/2025 18:05:35,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,8,6,1,Screen 1,storyAudio,content_audio,50555.300000000745,,,0,,,,,,,,storyScreens,,,,,Scene6.JPG,CA_P6.mp3
11,1765235176411,08/12/2025 23:06:16,1765235162977,-5,08/12/2025 18:06:02,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,9,7,1,Screen 1,storyAudio,content_audio,27366.599999999627,,,0,,,,,,,,storyScreens,,,,,Scene7.JPG,CA_P7.mp3
12,1765235208849,08/12/2025 23:06:48,1765235195416,-5,08/12/2025 18:06:35,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,10,8,1,Screen 1,storyAudio,content_audio,32382.900000000373,,,0,,,,,,,,storyScreens,,,,,Scene8.JPG,CA_P8.mp3
13,1765235255115,08/12/2025 23:07:35,1765235241676,-5,08/12/2025 18:07:21,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,11,9,1,Screen 1,storyAudio,content_audio,46213.40000000037,,,0,,,,,,,,storyScreens,,,,,Scene9.JPG,CA_P9.mp3
14,1765235269180,08/12/2025 23:07:49,1765235255756,-5,08/12/2025 18:07:35,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,12,10,1,Screen 1,storyAudio,content_audio,14028.39999999851,,,0,,,,,,,,storyScreens,,,,,Scene10.JPG,CA_P10.mp3
15,1765235281159,08/12/2025 23:08:01,1765235268016,-5,08/12/2025 18:07:48,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,13,11,1,Screen 1,storyAudio,content_audio,12219.39999999851,,,0,,,,,,,,storyScreens,,,,,Scene11.JPG,CA_P11.mp3
16,1765235293295,08/12/2025 23:08:13,1765235279877,-5,08/12/2025 18:07:59,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,14,12,1,Screen 1,storyAudio,content_audio,11815.39999999851,,,0,,,,,,,,storyScreens,,,,,Scene12.JPG,CA_P12.mp3
17,1765235305481,08/12/2025 23:08:25,1765235292056,-5,08/12/2025 18:08:12,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,15,13,1,Screen 1,storyAudio,content_audio,12138.700000001118,,,0,,,,,,,,storyScreens,,,,,Scene13.JPG,CA_P13.mp3
18,1765235326713,08/12/2025 23:08:46,1765235313256,-5,08/12/2025 18:08:33,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,16,14,1,Screen 1,storyAudio,content_audio,21162.400000000373,,,0,,,,,,,,storyScreens,,,,,Scene14.JPG,CA_P14.mp3
19,1765235342908,08/12/2025 23:09:02,1765235329756,-5,08/12/2025 18:08:49,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,17,15,1,Screen 1,storyAudio,content_audio,16449.299999998882,,,0,,,,,,,,storyScreens,,,,,Scene15.JPG,CA_P15.mp3
20,1765235351778,08/12/2025 23:09:11,1765235338356,-5,08/12/2025 18:08:58,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,18,1,1,Screen 1,advancementZone,continue_button,8551.599999999627,,,0,,,,,,,,comprehensionInstructions,,,,,,
21,1765235353667,08/12/2025 23:09:13,1765235340521,-5,08/12/2025 18:09:00,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,19,1,1,Screen 1,Zone1,response_button_text,2115.5999999996275,,Archie,1,1,,,,,,1,comprehensionQs,What was the boy character called?,Andy,Archie,Archie,,
22,1765235356159,08/12/2025 23:09:16,1765235342745,-5,08/12/2025 18:09:02,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,22,2,1,Screen 1,Zone1,response_button_text,2208.7000000011176,,Intergalactic Zoo,1,1,,,,,,1,comprehensionQs,Where did they go?,Intergalactic Fairground,Intergalactic Zoo,Intergalactic Zoo,,
23,1765235358271,08/12/2025 23:09:18,1765235345131,-5,08/12/2025 18:09:05,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,20,3,1,Screen 1,advancementZone,response_button_text,2352.699999999255,,Krista,1,1,,,,,,1,comprehensionQs,What was the girl character called?,Krista,Crystal,Krista,,
24,1765235360487,08/12/2025 23:09:20,1765235347340,-5,08/12/2025 18:09:07,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,21,4,1,Screen 1,advancementZone,response_button_text,2196.0999999996275,,Green,1,1,,,,,,1,comprehensionQs,What colour were the main characters?,Green,Yellow,Green,,
25,1765235360606,08/12/2025 23:09:20,1765235347349,-5,08/12/2025 18:09:07,250842,10,task-zmm2,,51269968,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,,,END TASK,,,,,469637,,,,,,,,,,,,,,,,,
1,1765579924998,12/12/2025 22:52:04,1765579905379,-5,12/12/2025 17:51:45,250842,10,task-zmm2,,51378425,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765579926282,12/12/2025 22:52:06,1765579906682,-5,12/12/2025 17:51:46,250842,10,task-zmm2,,51378425,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,1,1,1,Screen 2,advancementZone,continue_button,1291,,,0,,,,,,,,instructions,,,,,,
