Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
52,1765669487749,13/12/2025 23:44:47,1765669487563,-6,13/12/2025 17:44:47,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,13,2,opt2,Zone1,content_audio,1571,,,0,,,,,,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
53,1765669488084,13/12/2025 23:44:48,1765669487905,-6,13/12/2025 17:44:47,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,13,3,response,Zone1,response_keyboard,333.69999998807907,,2,1,1,,,,,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
54,1765669489080,13/12/2025 23:44:49,1765669488888,-6,13/12/2025 17:44:48,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,13,4,ITI,Zone1,timelimit_screen,998.8999999999942,,,0,,,,,1,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
55,1765669490695,13/12/2025 23:44:50,1765669490503,-6,13/12/2025 17:44:50,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,14,1,opt1,Zone1,content_audio,1602.9000000357628,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
56,1765669492261,13/12/2025 23:44:52,1765669492084,-6,13/12/2025 17:44:52,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,14,2,opt2,Zone1,content_audio,1571.300000011921,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
57,1765669493968,13/12/2025 23:44:53,1765669493775,-6,13/12/2025 17:44:53,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,14,3,response,Zone1,response_keyboard,1682.3999999761581,,2,1,1,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
58,1765669494958,13/12/2025 23:44:54,1765669494766,-6,13/12/2025 17:44:54,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,14,4,ITI,Zone1,timelimit_screen,998.8000000000029,,,0,,,,,1,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
59,1765669496544,13/12/2025 23:44:56,1765669496343,-6,13/12/2025 17:44:56,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,15,1,opt1,Zone1,content_audio,1566.5999999642372,,,0,,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
60,1765669498128,13/12/2025 23:44:58,1765669497903,-6,13/12/2025 17:44:57,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,15,2,opt2,Zone1,content_audio,1551.8999999761581,,,0,,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
61,1765669498384,13/12/2025 23:44:58,1765669498176,-6,13/12/2025 17:44:58,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,15,3,response,Zone1,response_keyboard,263.89999997615814,,1,1,1,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
62,1765669499365,13/12/2025 23:44:59,1765669499162,-6,13/12/2025 17:44:59,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,15,4,ITI,Zone1,timelimit_screen,999.6000000000058,,,0,,,,,1,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
63,1765669501552,13/12/2025 23:45:01,1765669501366,-6,13/12/2025 17:45:01,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,17,1,1,Screen 1,advancementZone,continue_button,2194.599999964237,,,0,,,,,,,,recog-Finish,,,,,,
64,1765669501691,13/12/2025 23:45:01,1765669501377,-6,13/12/2025 17:45:01,250842,10,task-w6o6,,51389061,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1764x814,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,,,END TASK,,,,,78446,,,,,,,,,,,,,,,,,
1,1765671861137,14/12/2025 00:24:21,1765671861030,-6,13/12/2025 18:24:21,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765671992652,14/12/2025 00:26:32,1765671992582,-6,13/12/2025 18:26:32,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,1,1,1,Screen 1,advancementZone,continue_button,131406.20000004768,,,0,,,,,,,,recog-Instructions,,,,,,
3,1765671994462,14/12/2025 00:26:34,1765671994378,-6,13/12/2025 18:26:34,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,1,1,opt1,Zone1,content_audio,1759.5999999046326,,,0,,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
4,1765671996065,14/12/2025 00:26:36,1765671995997,-6,13/12/2025 18:26:35,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,1,2,opt2,Zone1,content_audio,1607.1000001430511,,,0,,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
5,1765671996400,14/12/2025 00:26:36,1765671996334,-6,13/12/2025 18:26:36,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,1,3,response,Zone1,response_keyboard,330.5,,1,1,1,,,,,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
6,1765671997378,14/12/2025 00:26:37,1765671997317,-6,13/12/2025 18:26:37,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,13,1,4,ITI,Zone1,timelimit_screen,999.7999999999884,,,0,,,,,1,,1,recog-trial,mowel.mp3,solly.mp3,1,zookeeper.PNG,mowel,solly
7,1765671999022,14/12/2025 00:26:39,1765671998937,-6,13/12/2025 18:26:38,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,2,1,opt1,Zone1,content_audio,1602.5,,,0,,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
8,1765672000606,14/12/2025 00:26:40,1765672000537,-6,13/12/2025 18:26:40,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,2,2,opt2,Zone1,content_audio,1592.4000000953674,,,0,,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
9,1765672000953,14/12/2025 00:26:40,1765672000886,-6,13/12/2025 18:26:40,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,2,3,response,Zone1,response_keyboard,342.7999999523163,,1,1,1,,,,,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
10,1765672001951,14/12/2025 00:26:41,1765672001883,-6,13/12/2025 18:26:41,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,15,2,4,ITI,Zone1,timelimit_screen,999.7000000000116,,,0,,,,,1,,1,recog-trial,regby.mp3,ballow.mp3,1,flower.PNG,regby,ballow
11,1765672003529,14/12/2025 00:26:43,1765672003457,-6,13/12/2025 18:26:43,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,1,opt1,Zone1,content_audio,1562,,,0,,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
12,1765672005128,14/12/2025 00:26:45,1765672005057,-6,13/12/2025 18:26:45,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,2,opt2,Zone1,content_audio,1595.7999999523163,,,0,,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
13,1765672005453,14/12/2025 00:26:45,1765672005382,-6,13/12/2025 18:26:45,250842,10,task-w6o6,,51389295,5c04872c55614800012b7cf0,14743307,,complete,,693e011c7fd83d3b551ec6fb,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1080,1920x953,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,11,3,3,response,Zone1,response_keyboard,313.59999990463257,,1,1,1,,,,,,1,recog-trial,nusty.mp3,tabric.mp3,1,car.PNG,nusty,tabric
