Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
1,1765580701873,12/12/2025 23:05:01,1765580700924,-6,12/12/2025 17:05:00,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765580704609,12/12/2025 23:05:04,1765580703691,-6,12/12/2025 17:05:03,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,2726.400000035763,,,0,,,,,,,,microphoneCheck,,,
3,1765580712395,12/12/2025 23:05:12,1765580711470,-6,12/12/2025 17:05:11,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,7767.100000023842,,,0,,,,,,,,microphoneCheck,,,
4,1765580716852,12/12/2025 23:05:16,1765580715956,-6,12/12/2025 17:05:15,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,4479.200000047684,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
5,1765580721880,12/12/2025 23:05:21,1765580720975,-6,12/12/2025 17:05:20,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,9498.300000011921,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765580722052,12/12/2025 23:05:22,1765580720978,-6,12/12/2025 17:05:20,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,9501.300000011921,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765580722662,12/12/2025 23:05:22,1765580721750,-6,12/12/2025 17:05:21,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10273.5,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765580722815,12/12/2025 23:05:22,1765580721754,-6,12/12/2025 17:05:21,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10277.900000035763,,250842-10-14743101-task-flt5-51378572-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765580722815,12/12/2025 23:05:22,1765580721755,-6,12/12/2025 17:05:21,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10278.200000047684,,https://app.gorilla.sc/uploads/schedule/51378572?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765580722815,12/12/2025 23:05:22,1765580721758,-6,12/12/2025 17:05:21,250842,10,task-flt5,,51378572,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,10280.800000011921,,,0,,,,,,,,microphoneCheck,,,
