Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
11,1765580603700,12/12/2025 23:03:23,1765580602975,-7,12/12/2025 16:03:22,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,9,7,1,Screen 1,storyAudio,content_audio,28053.600000023842,,,0,,,,,,,,storyScreens,,,,,Scene7.JPG,CC_P7.mp3
12,1765580636390,12/12/2025 23:03:56,1765580635674,-7,12/12/2025 16:03:55,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,10,8,1,Screen 1,storyAudio,content_audio,32673.899999976158,,,0,,,,,,,,storyScreens,,,,,Scene8.JPG,CC_P8.mp3
13,1765580683608,12/12/2025 23:04:43,1765580682816,-7,12/12/2025 16:04:42,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,11,9,1,Screen 1,storyAudio,content_audio,47116.299999952316,,,0,,,,,,,,storyScreens,,,,,Scene9.JPG,CC_P9.mp3
14,1765580698323,12/12/2025 23:04:58,1765580697514,-7,12/12/2025 16:04:57,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,12,10,1,Screen 1,storyAudio,content_audio,14673.399999976158,,,0,,,,,,,,storyScreens,,,,,Scene10.JPG,CC_P10.mp3
15,1765580709432,12/12/2025 23:05:09,1765580709274,-7,12/12/2025 16:05:09,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,13,11,1,Screen 1,storyAudio,content_audio,11738.299999952316,,,0,,,,,,,,storyScreens,,,,,Scene11.JPG,CC_P11.mp3
16,1765580721533,12/12/2025 23:05:21,1765580720836,-7,12/12/2025 16:05:20,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,14,12,1,Screen 1,storyAudio,content_audio,11535.899999976158,,,0,,,,,,,,storyScreens,,,,,Scene12.JPG,CC_P12.mp3
17,1765580733682,12/12/2025 23:05:33,1765580732975,-7,12/12/2025 16:05:32,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,15,13,1,Screen 1,storyAudio,content_audio,12115.100000023842,,,0,,,,,,,,storyScreens,,,,,Scene13.JPG,CC_P13.mp3
18,1765580754148,12/12/2025 23:05:54,1765580753395,-7,12/12/2025 16:05:53,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,16,14,1,Screen 1,storyAudio,content_audio,20396.899999976158,,,0,,,,,,,,storyScreens,,,,,Scene14.JPG,CC_P14.mp3
19,1765580770191,12/12/2025 23:06:10,1765580770035,-7,12/12/2025 16:06:10,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,17,15,1,Screen 1,storyAudio,content_audio,16616.900000095367,,,0,,,,,,,,storyScreens,,,,,Scene15.JPG,CC_P15.mp3
20,1765580777704,12/12/2025 23:06:17,1765580777547,-7,12/12/2025 16:06:17,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,18,1,1,Screen 1,advancementZone,continue_button,7486.299999952316,,,0,,,,,,,,comprehensionInstructions,,,,,,
21,1765580781216,12/12/2025 23:06:21,1765580780488,-7,12/12/2025 16:06:20,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,19,1,1,Screen 1,Zone1,response_button_text,2919.600000023842,,Archie,1,1,,,,,,1,comprehensionQs,What was the boy character called?,Andy,Archie,Archie,,
22,1765580783957,12/12/2025 23:06:23,1765580783803,-7,12/12/2025 16:06:23,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,21,2,1,Screen 1,advancementZone,response_button_text,3294.6999999284744,,Green,1,1,,,,,,1,comprehensionQs,What colour were the main characters?,Green,Yellow,Green,,
23,1765580787108,12/12/2025 23:06:27,1765580786943,-7,12/12/2025 16:06:26,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,20,3,1,Screen 1,advancementZone,response_button_text,3121.7000000476837,,Krista,1,1,,,,,,1,comprehensionQs,What was the girl character called?,Krista,Crystal,Krista,,
