Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
40,1765680277736,14/12/2025 02:44:37,1765680276919,-5,13/12/2025 21:44:36,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,1,Screen 3,Zone1,timelimit_screen,1500.600000000035,,,0,,,,,1,,1,stemComp,de.mp3,dester,DE____
41,1765680279288,14/12/2025 02:44:39,1765680278465,-5,13/12/2025 21:44:38,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,2,Screen 1,audioCue,content_audio,1541.7000000001863,,,0,,,,,,,1,stemComp,de.mp3,dester,DE____
42,1765680279421,14/12/2025 02:44:39,1765680278497,-5,13/12/2025 21:44:38,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,27.799999999813735,,STARTED RECORDING,0,,,,,,,1,stemComp,de.mp3,dester,DE____
43,1765680281423,14/12/2025 02:44:41,1765680280608,-5,13/12/2025 21:44:40,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,Zone1,continue_button,2136.899999999441,,,0,,,,,,,1,stemComp,de.mp3,dester,DE____
44,1765680281848,14/12/2025 02:44:41,1765680280629,-5,13/12/2025 21:44:40,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,2159.899999999441,,STOPPED RECORDING,0,,,,,,,1,stemComp,de.mp3,dester,DE____
45,1765680281848,14/12/2025 02:44:41,1765680280630,-5,13/12/2025 21:44:40,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,2161,,TRANSCODING START,0,,,,,,,1,stemComp,de.mp3,dester,DE____
46,1765680282166,14/12/2025 02:44:42,1765680281356,-5,13/12/2025 21:44:41,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,256.59999999962747,,TRANSCODING FINISH,0,,,,,,,1,stemComp,de.mp3,dester,DE____
47,1765680282462,14/12/2025 02:44:42,1765680281358,-5,13/12/2025 21:44:41,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,258.59999999962747,,250842-10-14743152-task-1onv-51389638-dester-5-3.mp3,0,,,,,,,1,stemComp,de.mp3,dester,DE____
48,1765680282462,14/12/2025 02:44:42,1765680281358,-5,13/12/2025 21:44:41,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,16,4,3,Screen 2,advancementZone,audio_recording,258.79999999981374,,https://app.gorilla.sc/uploads/schedule/51389638?filename=dester-5-3.mp3,0,,,,,,,1,stemComp,de.mp3,dester,DE____
49,1765680283389,14/12/2025 02:44:43,1765680282585,-5,13/12/2025 21:44:42,250842,10,task-1onv,,51389638,58a1fe40ea3d11000170d9b9,14743152,,complete,,693e233d65809c0b4a0d6be1,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1920x1200,1920x1077,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,13,5,1,Screen 3,Zone1,timelimit_screen,1500,,,0,,,,,1,,1,stemComp,nu.mp3,nusty,NU____
