Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
144,1765235535544,08/12/2025 23:12:15,1765235522039,-5,08/12/2025 18:12:02,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,12,15,3,Screen 2,advancementZone,audio_recording,1994.0999999996275,,TRANSCODING START,0,,,,,,,1,stemComp,pa.mp3,parung,PA____
145,1765235536072,08/12/2025 23:12:16,1765235522925,-5,08/12/2025 18:12:02,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,12,15,3,Screen 2,advancementZone,audio_recording,422.2999999988824,,TRANSCODING FINISH,0,,,,,,,1,stemComp,pa.mp3,parung,PA____
146,1765235536175,08/12/2025 23:12:16,1765235522929,-5,08/12/2025 18:12:02,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,12,15,3,Screen 2,advancementZone,audio_recording,426.19999999925494,,250842-10-14710098-task-qyn5-51270041-parung-16-3.mp3,0,,,,,,,1,stemComp,pa.mp3,parung,PA____
147,1765235536175,08/12/2025 23:12:16,1765235522929,-5,08/12/2025 18:12:02,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,12,15,3,Screen 2,advancementZone,audio_recording,426.5,,https://app.gorilla.sc/uploads/schedule/51270041?filename=parung-16-3.mp3,0,,,,,,,1,stemComp,pa.mp3,parung,PA____
148,1765235539322,08/12/2025 23:12:19,1765235526168,-5,08/12/2025 18:12:06,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,18,1,1,Screen 1,advancementZone,continue_button,3664.89999999851,,,0,,,,,,,,stemComp-Finish,,,
149,1765235539435,08/12/2025 23:12:19,1765235526178,-5,08/12/2025 18:12:06,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,,,END TASK,,,,,176990,,,,,,,,,,,,,,
1,1765580392431,12/12/2025 22:59:52,1765580372789,-5,12/12/2025 17:59:32,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765580395906,12/12/2025 22:59:55,1765580376293,-5,12/12/2025 17:59:36,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,3490,,,0,,,,,,,,microphoneCheck,,,
3,1765580402092,12/12/2025 23:00:02,1765580382498,-5,12/12/2025 17:59:42,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,6201,,,0,,,,,,,,microphoneCheck,,,
4,1765580405001,12/12/2025 23:00:05,1765580385416,-5,12/12/2025 17:59:45,250842,10,task-qyn5,,51378508,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,2048x1152,1997x1027,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,2915,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
