Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
40,1765674149403,14/12/2025 01:02:29,1765674149319,-5,13/12/2025 20:02:29,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,1,Screen 3,Zone1,timelimit_screen,1500.5,,,0,,,,,1,,1,stemComp,so.mp3,solly,SO___
41,1765674150996,14/12/2025 01:02:30,1765674150913,-5,13/12/2025 20:02:30,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,2,Screen 1,audioCue,content_audio,1588.5,,,0,,,,,,,1,stemComp,so.mp3,solly,SO___
42,1765674151142,14/12/2025 01:02:31,1765674150939,-5,13/12/2025 20:02:30,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,21.199999999254942,,STARTED RECORDING,0,,,,,,,1,stemComp,so.mp3,solly,SO___
43,1765674153069,14/12/2025 01:02:33,1765674152996,-5,13/12/2025 20:02:32,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,Zone1,continue_button,2076.199999999255,,,0,,,,,,,1,stemComp,so.mp3,solly,SO___
44,1765674153200,14/12/2025 01:02:33,1765674153016,-5,13/12/2025 20:02:33,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,2097.699999999255,,STOPPED RECORDING,0,,,,,,,1,stemComp,so.mp3,solly,SO___
45,1765674153200,14/12/2025 01:02:33,1765674153016,-5,13/12/2025 20:02:33,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,2098.5,,TRANSCODING START,0,,,,,,,1,stemComp,so.mp3,solly,SO___
46,1765674153543,14/12/2025 01:02:33,1765674153455,-5,13/12/2025 20:02:33,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,2537.199999999255,,TRANSCODING FINISH,0,,,,,,,1,stemComp,so.mp3,solly,SO___
47,1765674153682,14/12/2025 01:02:33,1765674153460,-5,13/12/2025 20:02:33,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,2541.7999999988824,,250842-10-14743129-task-6wul-51389433-solly-5-3.mp3,0,,,,,,,1,stemComp,so.mp3,solly,SO___
48,1765674153682,14/12/2025 01:02:33,1765674153460,-5,13/12/2025 20:02:33,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,7,4,3,Screen 2,advancementZone,audio_recording,2542,,https://app.gorilla.sc/uploads/schedule/51389433?filename=solly-5-3.mp3,0,,,,,,,1,stemComp,so.mp3,solly,SO___
49,1765674155073,14/12/2025 01:02:35,1765674154989,-5,13/12/2025 20:02:34,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,1,Screen 3,Zone1,timelimit_screen,1500.5999999999913,,,0,,,,,1,,1,stemComp,ra.mp3,rafar,RA___
50,1765674156652,14/12/2025 01:02:36,1765674156563,-5,13/12/2025 20:02:36,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,2,Screen 1,audioCue,content_audio,1566.7999999988824,,,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
51,1765674156789,14/12/2025 01:02:36,1765674156590,-5,13/12/2025 20:02:36,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,22.300000000745058,,STARTED RECORDING,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
52,1765674164868,14/12/2025 01:02:44,1765674164780,-5,13/12/2025 20:02:44,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,Zone1,continue_button,8209,,,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
53,1765674165006,14/12/2025 01:02:45,1765674164807,-5,13/12/2025 20:02:44,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,8239.800000000745,,STOPPED RECORDING,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
54,1765674165006,14/12/2025 01:02:45,1765674164809,-5,13/12/2025 20:02:44,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,8241.400000000373,,TRANSCODING START,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
55,1765674165835,14/12/2025 01:02:45,1765674165760,-5,13/12/2025 20:02:45,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,490.5,,TRANSCODING FINISH,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
56,1765674165957,14/12/2025 01:02:45,1765674165769,-5,13/12/2025 20:02:45,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,499.30000000074506,,250842-10-14743129-task-6wul-51389433-rafar-6-3.mp3,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
57,1765674165957,14/12/2025 01:02:45,1765674165769,-5,13/12/2025 20:02:45,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,9,5,3,Screen 2,advancementZone,audio_recording,499.5,,https://app.gorilla.sc/uploads/schedule/51389433?filename=rafar-6-3.mp3,0,,,,,,,1,stemComp,ra.mp3,rafar,RA___
58,1765674166848,14/12/2025 01:02:46,1765674166762,-5,13/12/2025 20:02:46,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,1,Screen 3,Zone1,timelimit_screen,1500.699999999997,,,0,,,,,1,,1,stemComp,fe.mp3,femod,FE___
59,1765674168395,14/12/2025 01:02:48,1765674168313,-5,13/12/2025 20:02:48,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,2,Screen 1,audioCue,content_audio,1544.7000000011176,,,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
60,1765674168541,14/12/2025 01:02:48,1765674168340,-5,13/12/2025 20:02:48,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,advancementZone,audio_recording,23.09999999962747,,STARTED RECORDING,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
61,1765674173449,14/12/2025 01:02:53,1765674173361,-5,13/12/2025 20:02:53,250842,10,task-6wul,,51389433,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 143.0.0.0,1280x800,1280x575,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,15,6,3,Screen 2,Zone1,continue_button,5037.699999999255,,,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
