Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
11,1764727591293,03/12/2025 02:06:31,1764727591213,-8,02/12/2025 18:06:31,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,9,7,1,Screen 1,storyAudio,content_audio,27314.40000000596,,,0,,,,,,,,storyScreens,,,,,Scene7.JPG,CA_P7.mp3
12,1764727623652,03/12/2025 02:07:03,1764727623554,-8,02/12/2025 18:07:03,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,10,8,1,Screen 1,storyAudio,content_audio,32329.5,,,0,,,,,,,,storyScreens,,,,,Scene8.JPG,CA_P8.mp3
13,1764727669846,03/12/2025 02:07:49,1764727669741,-8,02/12/2025 18:07:49,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,11,9,1,Screen 1,storyAudio,content_audio,46176.90000000596,,,0,,,,,,,,storyScreens,,,,,Scene9.JPG,CA_P9.mp3
14,1764727683839,03/12/2025 02:08:03,1764727683757,-8,02/12/2025 18:08:03,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,12,10,1,Screen 1,storyAudio,content_audio,14005.90000000596,,,0,,,,,,,,storyScreens,,,,,Scene10.JPG,CA_P10.mp3
15,1764727696057,03/12/2025 02:08:16,1764727695959,-8,02/12/2025 18:08:15,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,13,11,1,Screen 1,storyAudio,content_audio,12190.699999988079,,,0,,,,,,,,storyScreens,,,,,Scene11.JPG,CA_P11.mp3
16,1764727707829,03/12/2025 02:08:27,1764727707735,-8,02/12/2025 18:08:27,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,14,12,1,Screen 1,storyAudio,content_audio,11767.40000000596,,,0,,,,,,,,storyScreens,,,,,Scene12.JPG,CA_P12.mp3
17,1764727719947,03/12/2025 02:08:39,1764727719853,-8,02/12/2025 18:08:39,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,15,13,1,Screen 1,storyAudio,content_audio,12108,,,0,,,,,,,,storyScreens,,,,,Scene13.JPG,CA_P13.mp3
18,1764727741068,03/12/2025 02:09:01,1764727740994,-8,02/12/2025 18:09:00,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,16,14,1,Screen 1,storyAudio,content_audio,21132.90000000596,,,0,,,,,,,,storyScreens,,,,,Scene14.JPG,CA_P14.mp3
19,1764727757508,03/12/2025 02:09:17,1764727757421,-8,02/12/2025 18:09:17,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,17,15,1,Screen 1,storyAudio,content_audio,16416.90000000596,,,0,,,,,,,,storyScreens,,,,,Scene15.JPG,CA_P15.mp3
20,1764727761738,03/12/2025 02:09:21,1764727761660,-8,02/12/2025 18:09:21,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,18,1,1,Screen 1,advancementZone,continue_button,4229.199999988079,,,0,,,,,,,,comprehensionInstructions,,,,,,
21,1764727762982,03/12/2025 02:09:22,1764727762906,-8,02/12/2025 18:09:22,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,20,1,1,Screen 1,advancementZone,response_button_text,1240,,Krista,1,1,,,,,,1,comprehensionQs,What was the girl character called?,Krista,Crystal,Krista,,
22,1764727764062,03/12/2025 02:09:24,1764727763976,-8,02/12/2025 18:09:23,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,21,2,1,Screen 1,advancementZone,response_button_text,1063.0999999940395,,Green,1,1,,,,,,1,comprehensionQs,What colour were the main characters?,Green,Yellow,Green,,
23,1764727765082,03/12/2025 02:09:25,1764727764974,-8,02/12/2025 18:09:24,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,22,3,1,Screen 1,Zone1,response_button_text,991.8000000119209,,Intergalactic Zoo,1,1,,,,,,1,comprehensionQs,Where did they go?,Intergalactic Fairground,Intergalactic Zoo,Intergalactic Zoo,,
24,1764727765834,03/12/2025 02:09:25,1764727765755,-8,02/12/2025 18:09:25,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,19,4,1,Screen 1,Zone1,response_button_text,775.6999999880791,,Archie,1,1,,,,,,1,comprehensionQs,What was the boy character called?,Andy,Archie,Archie,,
25,1764727766027,03/12/2025 02:09:26,1764727765769,-8,02/12/2025 18:09:25,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,,,END TASK,,,,,458154,,,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
