Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,answer
1,1764727230721,03/12/2025 02:00:30,1764727230569,-8,02/12/2025 18:00:30,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,,
2,1764727233177,03/12/2025 02:00:33,1764727233068,-8,02/12/2025 18:00:33,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,1,1,1,Screen 1,advancementZone,continue_button,2474.699999988079,,,0,,,,,,,,soundCheckInstructions,
3,1764727234971,03/12/2025 02:00:34,1764727234869,-8,02/12/2025 18:00:34,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,audiofile,content_audio,1791.0999999940395,,AUDIO STARTED,1,,,,,,,,volumeAdjustment,octopus
4,1764727237922,03/12/2025 02:00:37,1764727237839,-8,02/12/2025 18:00:37,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,2,1,1,Screen 1,typeword,response_text_entry,4759,,octopus,1,1,,,,,,,volumeAdjustment,octopus
5,1764727242317,03/12/2025 02:00:42,1764727242217,-8,02/12/2025 18:00:42,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,3,1,1,Screen 1,advancementZone,continue_button,4371.0999999940395,,,0,,,,,,,,autoplay,chocolate
6,1764727247254,03/12/2025 02:00:47,1764727247169,-8,02/12/2025 18:00:47,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,3,1,2,Screen 2,Zone1,response_text_entry,4944.9000000059605,,chocolate ,1,1,,,,,,,autoplay,chocolate
7,1764727247438,03/12/2025 02:00:47,1764727247172,-8,02/12/2025 18:00:47,250842,5,task-24zw,,51104204,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - speakers,17,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,16604,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
