Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,ANSWER,foil
32,1764727915932,03/12/2025 02:11:55,1764727915854,-8,02/12/2025 18:11:55,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,6,1,opt1,Zone1,content_audio,1565.7999999821186,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
33,1764727917466,03/12/2025 02:11:57,1764727917390,-8,02/12/2025 18:11:57,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,6,2,opt2,Zone1,content_audio,1531.0999999940395,,,0,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
34,1764727917991,03/12/2025 02:11:57,1764727917893,-8,02/12/2025 18:11:57,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,6,3,response,Zone1,response_keyboard,498,,1,1,,,,,,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
35,1764727918965,03/12/2025 02:11:58,1764727918880,-8,02/12/2025 18:11:58,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,6,6,4,ITI,Zone1,timelimit_screen,1000.2999999999956,,,0,,,,,1,,2,recog-trial,destor.mp3,dester.mp3,2,dester,destor
36,1764727920534,03/12/2025 02:12:00,1764727920441,-8,02/12/2025 18:12:00,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,7,7,1,opt1,Zone1,content_audio,1549.7000000178814,,,0,,,,,,,2,recog-trial,femod.mp3,femad.mp3,1,femod,femad
37,1764727922115,03/12/2025 02:12:02,1764727922041,-8,02/12/2025 18:12:02,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,7,7,2,opt2,Zone1,content_audio,1594.9000000059605,,,0,,,,,,,2,recog-trial,femod.mp3,femad.mp3,1,femod,femad
38,1764727922486,03/12/2025 02:12:02,1764727922397,-8,02/12/2025 18:12:02,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,7,7,3,response,Zone1,response_keyboard,350.89999997615814,,1,1,1,,,,,,2,recog-trial,femod.mp3,femad.mp3,1,femod,femad
39,1764727923458,03/12/2025 02:12:03,1764727923383,-8,02/12/2025 18:12:03,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,7,7,4,ITI,Zone1,timelimit_screen,1000.9000000000015,,,0,,,,,1,,2,recog-trial,femod.mp3,femad.mp3,1,femod,femad
40,1764727925101,03/12/2025 02:12:05,1764727925006,-8,02/12/2025 18:12:05,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,10,8,1,opt1,Zone1,content_audio,1611.2000000178814,,,0,,,,,,,2,recog-trial,pareng.mp3,parung.mp3,2,parung,pareng
41,1764727926705,03/12/2025 02:12:06,1764727926630,-8,02/12/2025 18:12:06,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,10,8,2,opt2,Zone1,content_audio,1617.699999988079,,,0,,,,,,,2,recog-trial,pareng.mp3,parung.mp3,2,parung,pareng
42,1764727926908,03/12/2025 02:12:06,1764727926819,-8,02/12/2025 18:12:06,250842,5,task-1ie9,,51104261,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Form Recognition (2AFC),4,day1done,attention_pass,audio-Success,,,A,,,,,eligible,formRecog_all,formRecog_all,10,8,3,response,Zone1,response_keyboard,183.7999999821186,,2,1,1,,,,,,2,recog-trial,pareng.mp3,parung.mp3,2,parung,pareng
