Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1764727249262,03/12/2025 02:00:49,1764727249111,-8,02/12/2025 18:00:49,250842,5,task-1wvc,,51104206,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1764727262081,03/12/2025 02:01:02,1764727261975,-8,02/12/2025 18:01:01,250842,5,task-1wvc,,51104206,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,12848.300000011921,,,0,,,,,,,,microphoneCheck
3,1764727262261,03/12/2025 02:01:02,1764727261983,-8,02/12/2025 18:01:01,250842,5,task-1wvc,,51104206,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,12872,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
