Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1764727264017,03/12/2025 02:01:04,1764727263835,-8,02/12/2025 18:01:03,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,BEGIN QUESTIONNAIRE,
2,1764727281765,03/12/2025 02:01:21,1764727281671,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,eligibility,1
3,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,timing-agreement,1
4,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,environment,1
5,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,consent,1
6,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,voice-consent,1
7,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,ProlificID-manual,test
8,1764727282047,03/12/2025 02:01:22,1764727281673,-8,02/12/2025 18:01:21,250842,5,questionnaire-zp9k,,51104207,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1694x965,day1done,,,Consent_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,END QUESTIONNAIRE,17838
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
