ID,CBC,item,acc,RT,session,neighb
6644cd2538b07b2b6aaa4376,C,tabric,1,987,1,one
60fda57e0916dfe2157c9b00,C,rafar,1,284.69999998807907,1,one
60fda57e0916dfe2157c9b00,C,peflin,1,26.400000005960464,1,none
60fda57e0916dfe2157c9b00,C,ballow,1,225.0999999940395,1,many
60fda57e0916dfe2157c9b00,C,solly,1,346.59999999403954,1,many
60fda57e0916dfe2157c9b00,C,nusty,0,443.5,1,many
60fda57e0916dfe2157c9b00,C,wabon,0,2.699999988079071,1,one
60fda57e0916dfe2157c9b00,C,tesdar,1,584.8000000119209,1,none
60fda57e0916dfe2157c9b00,C,regby,1,788.9000000059605,1,one
60fda57e0916dfe2157c9b00,C,dester,1,811.8000000119209,1,many
60fda57e0916dfe2157c9b00,C,parung,1,451.40000000596046,1,none
60fda57e0916dfe2157c9b00,C,tabric,0,430.699999988079,1,one
60fda57e0916dfe2157c9b00,C,pungus,1,1028.300000011921,1,one
60fda57e0916dfe2157c9b00,C,mowel,0,279.90000000596046,1,many
60fda57e0916dfe2157c9b00,C,femod,1,101.59999999403954,1,none
60fda57e0916dfe2157c9b00,C,vorgal,1,249.0999999940395,1,none
676d967fdcb045c99d113508,C,nusty,1,425.0000000000037,1,many
676d967fdcb045c99d113508,C,wabon,0,105,1,one
676d967fdcb045c99d113508,C,vorgal,1,104,1,none
676d967fdcb045c99d113508,C,parung,0,449,1,none
676d967fdcb045c99d113508,C,pungus,0,398,1,one
676d967fdcb045c99d113508,C,dester,1,529.0000000000073,1,many
676d967fdcb045c99d113508,C,solly,0,549,1,many
676d967fdcb045c99d113508,C,peflin,1,1416,1,none
676d967fdcb045c99d113508,C,tesdar,1,72.00000000001455,1,none
676d967fdcb045c99d113508,C,ballow,0,562,1,many
676d967fdcb045c99d113508,C,tabric,0,129,1,one
676d967fdcb045c99d113508,C,mowel,1,134,1,many
676d967fdcb045c99d113508,C,rafar,0,529,1,one
676d967fdcb045c99d113508,C,femod,1,607,1,none
676d967fdcb045c99d113508,C,regby,1,1556,1,one
676c45d92368330a2c254895,C,nusty,1,302.70000000018626,1,many
676c45d92368330a2c254895,C,wabon,1,1043.0999999996277,1,one
676c45d92368330a2c254895,C,ballow,1,299.59999999962747,1,many
676c45d92368330a2c254895,C,dester,1,46.200000000186265,1,many
676c45d92368330a2c254895,C,solly,1,133.6000000005588,1,many
676c45d92368330a2c254895,C,tesdar,1,166.6000000005588,1,none
676c45d92368330a2c254895,C,regby,1,688.2999999998137,1,one
676c45d92368330a2c254895,C,parung,0,1265.6000000005588,1,none
676c45d92368330a2c254895,C,mowel,0,4998.300000000003,1,many
676c45d92368330a2c254895,C,rafar,1,2390.0999999996275,1,one
676c45d92368330a2c254895,C,femod,1,343.29999999981374,1,none
676c45d92368330a2c254895,C,vorgal,1,1814.9000000003723,1,none
676c45d92368330a2c254895,C,pungus,1,1548.7999999998135,1,one
676c45d92368330a2c254895,C,tabric,1,909.4000000003724,1,one
676c45d92368330a2c254895,C,peflin,1,438.5999999996274,1,none
663e3cebf22215cffd238d3e,C,peflin,1,669,1,none
663e3cebf22215cffd238d3e,C,tabric,1,314,1,one
663e3cebf22215cffd238d3e,C,nusty,1,18.099999994039536,1,many
663e3cebf22215cffd238d3e,C,pungus,1,893.3000000119209,1,one
663e3cebf22215cffd238d3e,C,femod,1,542.4000000059605,1,none
663e3cebf22215cffd238d3e,C,mowel,1,388.699999988079,1,many
663e3cebf22215cffd238d3e,C,vorgal,1,332.09999999403954,1,none
663e3cebf22215cffd238d3e,C,wabon,1,719.2000000178814,1,one
663e3cebf22215cffd238d3e,C,dester,1,378.7000000178814,1,many
663e3cebf22215cffd238d3e,C,tesdar,0,287.5,1,none
663e3cebf22215cffd238d3e,C,rafar,1,401.7000000178814,1,one
663e3cebf22215cffd238d3e,C,solly,1,318.60000002384186,1,many
663e3cebf22215cffd238d3e,C,regby,1,296.90000000596046,1,one
663e3cebf22215cffd238d3e,C,parung,1,438.300000011921,1,none
663e3cebf22215cffd238d3e,C,ballow,1,63.5,1,many
6645755c72f71662e832dfb8,C,rafar,1,1784,1,one
6645755c72f71662e832dfb8,C,peflin,1,1203.699999988079,1,none
6645755c72f71662e832dfb8,C,femod,1,301,1,none
6645755c72f71662e832dfb8,C,pungus,0,582.6000000238419,1,one
6645755c72f71662e832dfb8,C,nusty,1,283.10000002384186,1,many
6645755c72f71662e832dfb8,C,regby,1,366.89999997615814,1,one
6645755c72f71662e832dfb8,C,wabon,0,542.5,1,one
6645755c72f71662e832dfb8,C,solly,1,262.0999999642372,1,many
6645755c72f71662e832dfb8,C,parung,1,576.7999999523163,1,none
6645755c72f71662e832dfb8,C,vorgal,1,460.60000002384186,1,none
6645755c72f71662e832dfb8,C,tabric,1,541.6000000238419,1,one
6645755c72f71662e832dfb8,C,tesdar,0,329.9000000357628,1,none
6645755c72f71662e832dfb8,C,mowel,1,223.5,1,many
6645755c72f71662e832dfb8,C,dester,1,419.10000002384186,1,many
6645755c72f71662e832dfb8,C,ballow,1,252.89999997615817,1,many
58a1fe40ea3d11000170d9b9,C,wabon,1,263.60000000009313,1,one
58a1fe40ea3d11000170d9b9,C,nusty,1,180.39999999990687,1,many
58a1fe40ea3d11000170d9b9,C,tabric,1,102.39999999990688,1,one
58a1fe40ea3d11000170d9b9,C,solly,1,2.3999999999068677,1,many
58a1fe40ea3d11000170d9b9,C,parung,0,652.2000000001863,1,none
58a1fe40ea3d11000170d9b9,C,regby,1,25.199999999720603,1,one
58a1fe40ea3d11000170d9b9,C,ballow,0,325.5,1,many
58a1fe40ea3d11000170d9b9,C,peflin,1,373.89999999990687,1,none
58a1fe40ea3d11000170d9b9,C,pungus,1,291.89999999990687,1,one
58a1fe40ea3d11000170d9b9,C,mowel,0,135.20000000018626,1,many
58a1fe40ea3d11000170d9b9,C,femod,0,4109.399999999907,1,none
58a1fe40ea3d11000170d9b9,C,vorgal,1,251.5,1,none
58a1fe40ea3d11000170d9b9,C,rafar,1,85.3000000002794,1,one
58a1fe40ea3d11000170d9b9,C,tesdar,0,77.20000000018626,1,none
58a1fe40ea3d11000170d9b9,C,dester,1,302.59999999962747,1,many
6917346c854863a0b4e98872,C,wabon,1,922.600000023842,1,one
6917346c854863a0b4e98872,C,femod,0,5001.5999999999985,1,none
6917346c854863a0b4e98872,C,peflin,0,25.600000023841854,1,none
6917346c854863a0b4e98872,C,vorgal,1,170.5,1,none
6917346c854863a0b4e98872,C,nusty,0,962.399999976158,1,many
6917346c854863a0b4e98872,C,rafar,0,206.29999995231628,1,one
6917346c854863a0b4e98872,C,regby,0,1361.3000000715256,1,one
6917346c854863a0b4e98872,C,solly,0,4998.100000000006,1,many
6917346c854863a0b4e98872,C,parung,0,2226.3000000715256,1,none
6917346c854863a0b4e98872,C,pungus,0,5000.5,1,one
6917346c854863a0b4e98872,C,tesdar,1,40.29999995231629,1,none
6917346c854863a0b4e98872,C,ballow,0,5001.099999999991,1,many
6917346c854863a0b4e98872,C,dester,1,124.80000007152556,1,many
6917346c854863a0b4e98872,C,tabric,0,25.199999928474423,1,one
6917346c854863a0b4e98872,C,mowel,0,644.1000000238419,1,many
670420d4f05d7af4f85651e4,C,mowel,0,48.10000002384186,1,many
670420d4f05d7af4f85651e4,C,solly,1,154.30000001192093,1,many
670420d4f05d7af4f85651e4,C,wabon,1,2697.599999964237,1,one
670420d4f05d7af4f85651e4,C,femod,1,605.4000000357628,1,none
670420d4f05d7af4f85651e4,C,peflin,1,609.8000000119209,1,none
670420d4f05d7af4f85651e4,C,parung,1,313.89999997615814,1,none
670420d4f05d7af4f85651e4,C,tesdar,1,227,1,none
670420d4f05d7af4f85651e4,C,tabric,0,500.300000011921,1,one
670420d4f05d7af4f85651e4,C,rafar,0,484.5999999642372,1,one
670420d4f05d7af4f85651e4,C,nusty,1,355.5,1,many
670420d4f05d7af4f85651e4,C,pungus,0,338.0999999642372,1,one
670420d4f05d7af4f85651e4,C,ballow,0,2171.300000011921,1,many
670420d4f05d7af4f85651e4,C,vorgal,0,477.89999997615814,1,none
670420d4f05d7af4f85651e4,C,dester,0,362.89999997615814,1,many
670420d4f05d7af4f85651e4,C,regby,1,204.19999998807907,1,one
676fa93a6e1840db7ea43423,C,dester,1,411.2999999523163,1,many
676fa93a6e1840db7ea43423,C,rafar,1,359.5,1,one
676fa93a6e1840db7ea43423,C,solly,1,361.7000000476837,1,many
676fa93a6e1840db7ea43423,C,pungus,1,922.7000000476836,1,one
676fa93a6e1840db7ea43423,C,peflin,1,302.7999999523163,1,none
676fa93a6e1840db7ea43423,C,femod,1,54.20000004768371,1,none
676fa93a6e1840db7ea43423,C,tesdar,1,481.5,1,none
676fa93a6e1840db7ea43423,C,wabon,0,541.1999998092651,1,one
676fa93a6e1840db7ea43423,C,vorgal,1,387.09999990463257,1,none
676fa93a6e1840db7ea43423,C,tabric,0,594.2999999523163,1,one
676fa93a6e1840db7ea43423,C,parung,1,463.7999999523163,1,none
676fa93a6e1840db7ea43423,C,mowel,0,542.2000000476837,1,many
676fa93a6e1840db7ea43423,C,ballow,0,127.90000009536745,1,many
676fa93a6e1840db7ea43423,C,regby,0,679,1,one
676fa93a6e1840db7ea43423,C,nusty,1,105.79999995231628,1,many
611842195ebcbb197bc11c0e,C,dester,1,175.2000000011176,1,many
611842195ebcbb197bc11c0e,C,regby,1,576.5999999996275,1,one
611842195ebcbb197bc11c0e,C,tabric,1,424.5999999996274,1,one
611842195ebcbb197bc11c0e,C,wabon,0,746.5999999996275,1,one
611842195ebcbb197bc11c0e,C,vorgal,1,373.2000000011176,1,none
611842195ebcbb197bc11c0e,C,solly,1,483.0999999996274,1,many
611842195ebcbb197bc11c0e,C,femod,1,355,1,none
611842195ebcbb197bc11c0e,C,ballow,0,349.40000000037253,1,many
611842195ebcbb197bc11c0e,C,peflin,1,229.7000000011176,1,none
611842195ebcbb197bc11c0e,C,tesdar,1,1023,1,none
611842195ebcbb197bc11c0e,C,pungus,1,249,1,one
611842195ebcbb197bc11c0e,C,nusty,1,315.7999999988824,1,many
611842195ebcbb197bc11c0e,C,mowel,1,784.1999999992549,1,many
611842195ebcbb197bc11c0e,C,parung,0,537.6999999992549,1,none
611842195ebcbb197bc11c0e,C,rafar,0,319.30000000074506,1,one
5c7dcd11f066ff001568e56a,C,nusty,1,251,1,many
5c7dcd11f066ff001568e56a,C,solly,1,250,1,many
5c7dcd11f066ff001568e56a,C,tesdar,0,447,1,none
5c7dcd11f066ff001568e56a,C,mowel,0,864,1,many
5c7dcd11f066ff001568e56a,C,dester,1,598,1,many
5c7dcd11f066ff001568e56a,C,ballow,0,547,1,many
5c7dcd11f066ff001568e56a,C,rafar,1,495,1,one
5c7dcd11f066ff001568e56a,C,wabon,0,603,1,one
5c7dcd11f066ff001568e56a,C,pungus,1,544,1,one
5c7dcd11f066ff001568e56a,C,regby,0,380,1,one
5c7dcd11f066ff001568e56a,C,parung,1,594,1,none
5c7dcd11f066ff001568e56a,C,femod,1,747,1,none
5c7dcd11f066ff001568e56a,C,vorgal,1,681,1,none
5c7dcd11f066ff001568e56a,C,peflin,1,706,1,none
5c7dcd11f066ff001568e56a,C,tabric,0,615,1,one
6621a2f38453311275d17d65,C,femod,1,423.90000009536743,1,none
6621a2f38453311275d17d65,C,rafar,1,507.40000009536743,1,one
6621a2f38453311275d17d65,C,ballow,1,257.5,1,many
6621a2f38453311275d17d65,C,tabric,0,685.7000000476837,1,one
6621a2f38453311275d17d65,C,dester,0,897,1,many
6621a2f38453311275d17d65,C,peflin,1,877.2000000476837,1,none
6621a2f38453311275d17d65,C,solly,1,723.8999999761581,1,many
6621a2f38453311275d17d65,C,vorgal,1,349.5,1,none
6621a2f38453311275d17d65,C,regby,1,661.4000000953674,1,one
6621a2f38453311275d17d65,C,mowel,1,416.09999990463257,1,many
6621a2f38453311275d17d65,C,nusty,1,771.6999999284744,1,many
6621a2f38453311275d17d65,C,parung,0,1149,1,none
6621a2f38453311275d17d65,C,wabon,1,558.8999999761581,1,one
6621a2f38453311275d17d65,C,pungus,0,494.59999990463257,1,one
6621a2f38453311275d17d65,C,tesdar,1,718.7999999523163,1,none
66eb98fcc46d14f31c30e799,C,tesdar,1,568.2000000178814,1,none
66eb98fcc46d14f31c30e799,C,ballow,1,360.300000011921,1,many
66eb98fcc46d14f31c30e799,C,mowel,1,410.2000000178814,1,many
66eb98fcc46d14f31c30e799,C,nusty,1,1301.899999976158,1,many
66eb98fcc46d14f31c30e799,C,femod,1,325.89999997615814,1,none
66eb98fcc46d14f31c30e799,C,vorgal,1,609.2000000178814,1,none
66eb98fcc46d14f31c30e799,C,dester,0,450.5,1,many
66eb98fcc46d14f31c30e799,C,solly,1,430.09999999403954,1,many
66eb98fcc46d14f31c30e799,C,tabric,1,547.2999999821186,1,one
66eb98fcc46d14f31c30e799,C,pungus,1,773.5,1,one
66eb98fcc46d14f31c30e799,C,rafar,1,397.7000000178814,1,one
66eb98fcc46d14f31c30e799,C,wabon,0,418.90000000596046,1,one
66eb98fcc46d14f31c30e799,C,parung,1,672,1,none
66eb98fcc46d14f31c30e799,C,peflin,1,398.59999999403954,1,none
66eb98fcc46d14f31c30e799,C,regby,1,388.09999999403954,1,one
5c04872c55614800012b7cf0,C,ballow,1,416.89999985694885,1,many
5c04872c55614800012b7cf0,C,wabon,1,611.7999999523163,1,one
5c04872c55614800012b7cf0,C,rafar,1,702.2999999523163,1,one
5c04872c55614800012b7cf0,C,solly,1,1169.8999998569489,1,many
5c04872c55614800012b7cf0,C,nusty,1,520,1,many
5c04872c55614800012b7cf0,C,vorgal,1,761,1,none
5c04872c55614800012b7cf0,C,mowel,1,377.90000009536743,1,many
5c04872c55614800012b7cf0,C,dester,1,692,1,many
5c04872c55614800012b7cf0,C,tesdar,1,870.3999998569489,1,none
5c04872c55614800012b7cf0,C,pungus,1,937.7000000476836,1,one
5c04872c55614800012b7cf0,C,peflin,1,1085.5999999046326,1,none
5c04872c55614800012b7cf0,C,regby,1,1349.5,1,one
5c04872c55614800012b7cf0,C,parung,0,1749.4000000953674,1,none
5c04872c55614800012b7cf0,C,femod,1,442,1,none
5c04872c55614800012b7cf0,C,tabric,1,399.7999999523163,1,one
670391e01385e6794f0eff25,C,tesdar,1,439,2,none
670391e01385e6794f0eff25,C,peflin,1,144.29999999701977,2,none
670391e01385e6794f0eff25,C,parung,1,173.29999999701977,2,none
670391e01385e6794f0eff25,C,dester,1,441,2,many
670391e01385e6794f0eff25,C,rafar,1,240.79999999701977,2,one
670391e01385e6794f0eff25,C,vorgal,1,229.0999999940395,2,none
670391e01385e6794f0eff25,C,wabon,1,250,2,one
670391e01385e6794f0eff25,C,solly,1,103.79999999701975,2,many
670391e01385e6794f0eff25,C,mowel,0,76,2,many
670391e01385e6794f0eff25,C,nusty,1,198.5,2,many
670391e01385e6794f0eff25,C,ballow,1,202.5,2,many
670391e01385e6794f0eff25,C,pungus,1,189.1000000089407,2,one
670391e01385e6794f0eff25,C,regby,0,178.70000000298023,2,one
670391e01385e6794f0eff25,C,tabric,1,256.6000000089407,2,one
670391e01385e6794f0eff25,C,femod,0,25.100000008940697,2,none
5cfc7489e289a80016b6e29f,C,solly,1,360,2,many
5cfc7489e289a80016b6e29f,C,tesdar,1,460,2,none
5cfc7489e289a80016b6e29f,C,vorgal,1,845,2,none
5cfc7489e289a80016b6e29f,C,wabon,0,282,2,one
5cfc7489e289a80016b6e29f,C,parung,1,282,2,none
5cfc7489e289a80016b6e29f,C,nusty,1,561,2,many
5cfc7489e289a80016b6e29f,C,dester,0,6,2,many
5cfc7489e289a80016b6e29f,C,ballow,1,239,2,many
5cfc7489e289a80016b6e29f,C,regby,1,426,2,one
5cfc7489e289a80016b6e29f,C,peflin,1,338,2,none
5cfc7489e289a80016b6e29f,C,femod,1,266,2,none
5cfc7489e289a80016b6e29f,C,tabric,1,367,2,one
5cfc7489e289a80016b6e29f,C,pungus,1,951,2,one
5cfc7489e289a80016b6e29f,C,mowel,1,307,2,many
5cfc7489e289a80016b6e29f,C,rafar,1,347,2,one
6644cd2538b07b2b6aaa4376,C,nusty,1,623.4000000003725,2,many
6644cd2538b07b2b6aaa4376,C,ballow,1,405.5999999996274,2,many
6644cd2538b07b2b6aaa4376,C,tesdar,1,408.2000000011176,2,none
6644cd2538b07b2b6aaa4376,C,rafar,1,1522.0999999996277,2,one
6644cd2538b07b2b6aaa4376,C,vorgal,1,867.5,2,none
6644cd2538b07b2b6aaa4376,C,femod,1,798.5999999996275,2,none
6644cd2538b07b2b6aaa4376,C,peflin,1,69.5,2,none
6644cd2538b07b2b6aaa4376,C,dester,1,1290.9000000003723,2,many
6644cd2538b07b2b6aaa4376,C,wabon,0,1640.300000000745,2,one
6644cd2538b07b2b6aaa4376,C,regby,1,923.9000000003724,2,one
6644cd2538b07b2b6aaa4376,C,parung,1,2493.300000000745,2,none
6644cd2538b07b2b6aaa4376,C,mowel,1,1155.4000000003723,2,many
6644cd2538b07b2b6aaa4376,C,pungus,1,646.9000000003725,2,one
6644cd2538b07b2b6aaa4376,C,tabric,1,482.19999999925494,2,one
6644cd2538b07b2b6aaa4376,C,solly,1,2367.4000000003725,2,many
60fda57e0916dfe2157c9b00,C,mowel,1,1505.800000011921,2,many
60fda57e0916dfe2157c9b00,C,ballow,1,1033.699999988079,2,many
60fda57e0916dfe2157c9b00,C,rafar,1,332.10000002384186,2,one
60fda57e0916dfe2157c9b00,C,solly,1,863.0999999642372,2,many
60fda57e0916dfe2157c9b00,C,vorgal,1,296.80000001192093,2,none
60fda57e0916dfe2157c9b00,C,peflin,1,586.8000000119209,2,none
60fda57e0916dfe2157c9b00,C,nusty,1,1382.800000011921,2,many
60fda57e0916dfe2157c9b00,C,pungus,1,565.9000000357628,2,one
60fda57e0916dfe2157c9b00,C,tabric,1,307.69999998807907,2,one
60fda57e0916dfe2157c9b00,C,femod,1,318.7000000476837,2,none
60fda57e0916dfe2157c9b00,C,tesdar,0,215.80000001192093,2,none
60fda57e0916dfe2157c9b00,C,parung,1,366.89999997615814,2,none
60fda57e0916dfe2157c9b00,C,dester,0,372,2,many
60fda57e0916dfe2157c9b00,C,wabon,1,758.5,2,one
60fda57e0916dfe2157c9b00,C,regby,1,328.69999998807907,2,one
676d967fdcb045c99d113508,C,femod,1,199,2,none
676d967fdcb045c99d113508,C,rafar,0,359,2,one
676d967fdcb045c99d113508,C,peflin,1,357.9999999999927,2,none
676d967fdcb045c99d113508,C,regby,0,348,2,one
676d967fdcb045c99d113508,C,tabric,1,305,2,one
676d967fdcb045c99d113508,C,ballow,0,3771,2,many
676d967fdcb045c99d113508,C,pungus,0,653,2,one
676d967fdcb045c99d113508,C,tesdar,1,232,2,none
676d967fdcb045c99d113508,C,dester,1,28,2,many
676d967fdcb045c99d113508,C,mowel,1,51,2,many
676d967fdcb045c99d113508,C,vorgal,1,110,2,none
676d967fdcb045c99d113508,C,parung,0,327,2,none
676d967fdcb045c99d113508,C,wabon,1,102,2,one
676d967fdcb045c99d113508,C,nusty,1,16,2,many
676d967fdcb045c99d113508,C,solly,0,482,2,many
676c45d92368330a2c254895,C,dester,1,927.2999999970198,2,many
676c45d92368330a2c254895,C,mowel,1,684.1000000089407,2,many
676c45d92368330a2c254895,C,solly,1,429.40000000596046,2,many
676c45d92368330a2c254895,C,ballow,1,572.5999999940395,2,many
676c45d92368330a2c254895,C,tabric,0,456.90000000596046,2,one
676c45d92368330a2c254895,C,pungus,0,4998.399999999994,2,one
676c45d92368330a2c254895,C,parung,1,1598.2999999970198,2,none
